Date,Action,Ticker,Shares,Price,Value,Return,Reason
2025-01-31 00:00:00-05:00,BUY,MDT,161,88.69036102294922,14279.148124694824,0.0,NEW_POSITION
2025-01-31 00:00:00-05:00,BUY,FOX,296,48.107173919677734,14239.72348022461,0.0,NEW_POSITION
2025-01-31 00:00:00-05:00,BUY,JNJ,96,147.6309051513672,14172.56689453125,0.0,NEW_POSITION
2025-01-31 00:00:00-05:00,BUY,BK,168,84.53128051757812,14201.255126953125,0.0,NEW_POSITION
2025-01-31 00:00:00-05:00,BUY,DGX,88,160.8570556640625,14155.4208984375,0.0,NEW_POSITION
2025-01-31 00:00:00-05:00,BUY,HWM,113,126.24435424804688,14265.612030029297,0.0,NEW_POSITION
2025-01-31 00:00:00-05:00,BUY,GLW,279,51.108673095703125,14259.319793701172,0.0,NEW_POSITION
2025-02-28 00:00:00-05:00,SELL,MDT,161,89.86221313476562,14467.816314697266,0.013212846337531333,REBALANCE
2025-02-28 00:00:00-05:00,SELL,FOX,296,53.52170944213867,15842.425994873047,0.11255151947818283,REBALANCE
2025-02-28 00:00:00-05:00,SELL,JNJ,96,161.4003448486328,15494.43310546875,0.09326935768054599,REBALANCE
2025-02-28 00:00:00-05:00,SELL,BK,168,87.50212097167969,14700.356323242188,0.035144865142363264,REBALANCE
2025-02-28 00:00:00-05:00,SELL,DGX,88,170.52227783203125,15005.96044921875,0.06008578316983383,REBALANCE
2025-02-28 00:00:00-05:00,SELL,HWM,113,136.34349060058594,15406.814437866211,0.07999673658828435,REBALANCE
2025-02-28 00:00:00-05:00,SELL,GLW,279,49.49750900268555,13809.805011749268,-0.03152427945058574,REBALANCE
2025-02-28 00:00:00-05:00,BUY,FOXA,263,57.06045913696289,15006.90075302124,0.0,NEW_POSITION
2025-02-28 00:00:00-05:00,BUY,CAH,117,128.19332885742188,14998.61947631836,0.0,NEW_POSITION
2025-02-28 00:00:00-05:00,BUY,APH,227,66.09133911132812,15002.733978271484,0.0,NEW_POSITION
2025-02-28 00:00:00-05:00,BUY,NEM,356,42.12577819824219,14996.777038574219,0.0,NEW_POSITION
2025-02-28 00:00:00-05:00,BUY,COR,59,252.1656951904297,14877.776016235352,0.0,NEW_POSITION
2025-02-28 00:00:00-05:00,BUY,IVZ,892,16.840450286865234,15021.681655883789,0.0,NEW_POSITION
2025-02-28 00:00:00-05:00,BUY,CME,60,249.02574157714844,14941.544494628906,0.0,NEW_POSITION
2025-03-07 00:00:00-05:00,SELL,IVZ,892,15.136070251464844,13501.37466430664,-0.1012075096786294,STOP_LOSS
2025-03-13 00:00:00-04:00,SELL,FOXA,263,50.805912017822266,13361.954860687256,-0.10961263217542225,STOP_LOSS
2025-03-18 00:00:00-04:00,SELL,NEM,356,47.292030334472656,16835.962799072266,0.12263873469395148,TAKE_PROFIT
2025-03-31 00:00:00-04:00,SELL,CAH,117,136.40098571777344,15958.915328979492,0.06402561610269294,REBALANCE
2025-03-31 00:00:00-04:00,SELL,APH,227,65.25765991210938,14813.488800048828,-0.012614046112977858,REBALANCE
2025-03-31 00:00:00-04:00,SELL,COR,59,276.5826110839844,16318.374053955078,0.0968288564196474,REBALANCE
2025-03-31 00:00:00-04:00,SELL,CME,60,261.61767578125,15697.060546875,0.05056478950470495,REBALANCE
2025-03-31 00:00:00-04:00,BUY,INCY,251,60.54999923706055,15198.049808502197,0.0,NEW_POSITION
2025-03-31 00:00:00-04:00,BUY,RTX,116,130.69375610351562,15160.475708007812,0.0,NEW_POSITION
2025-03-31 00:00:00-04:00,BUY,TRV,58,261.2809143066406,15154.293029785156,0.0,NEW_POSITION
2025-03-31 00:00:00-04:00,BUY,GLW,337,45.18436813354492,15227.132061004639,0.0,NEW_POSITION
2025-03-31 00:00:00-04:00,BUY,GD,56,268.5121765136719,15036.681884765625,0.0,NEW_POSITION
2025-03-31 00:00:00-04:00,BUY,BRK-B,28,532.5800170898438,14912.240478515625,0.0,NEW_POSITION
2025-03-31 00:00:00-04:00,BUY,CSCO,251,60.56856918334961,15202.710865020752,0.0,NEW_POSITION
2025-04-04 00:00:00-04:00,SELL,RTX,116,115.88389587402344,13442.531921386719,-0.1133172744515972,STOP_LOSS
2025-04-04 00:00:00-04:00,SELL,GLW,337,38.561668395996094,12995.282249450684,-0.1465705953433955,STOP_LOSS
2025-04-04 00:00:00-04:00,SELL,CSCO,251,53.888587951660156,13526.0355758667,-0.11028791536197936,STOP_LOSS
2025-04-07 00:00:00-04:00,SELL,TRV,58,231.01913452148438,13399.109802246094,-0.11582085842535314,STOP_LOSS
2025-04-30 00:00:00-04:00,SELL,INCY,251,62.65999984741211,15727.65996170044,0.03484724421036994,REBALANCE
2025-04-30 00:00:00-04:00,SELL,GD,56,269.5465087890625,15094.6044921875,0.0038520870405963125,REBALANCE
2025-04-30 00:00:00-04:00,SELL,BRK-B,28,533.25,14931.0,0.0012579948339353992,REBALANCE
2025-04-30 00:00:00-04:00,BUY,FOX,724,46.00722122192383,33309.22816467285,0.0,NEW_POSITION
2025-04-30 00:00:00-04:00,BUY,UHS,188,176.54408264160156,33190.287536621094,0.0,NEW_POSITION
2025-04-30 00:00:00-04:00,BUY,GOOG,207,160.4486541748047,33212.87141418457,0.0,NEW_POSITION
2025-05-16 00:00:00-04:00,SELL,FOX,724,51.5889778137207,37350.41993713379,0.12132348886867785,TAKE_PROFIT
2025-06-10 00:00:00-04:00,SELL,GOOG,207,179.7319793701172,37204.51972961426,0.1201837765139732,TAKE_PROFIT
2025-06-30 00:00:00-04:00,SELL,UHS,188,180.8019256591797,33990.76202392578,0.024117732828360397,REBALANCE
2025-06-30 00:00:00-04:00,BUY,GOOGL,88,175.95742797851562,15484.253662109375,0.0,NEW_POSITION
2025-06-30 00:00:00-04:00,BUY,CBOE,66,233.2100067138672,15391.860443115234,0.0,NEW_POSITION
2025-06-30 00:00:00-04:00,BUY,STX,108,143.50001525878906,15498.001647949219,0.0,NEW_POSITION
2025-06-30 00:00:00-04:00,BUY,CAH,93,166.9437255859375,15525.766479492188,0.0,NEW_POSITION
2025-06-30 00:00:00-04:00,BUY,AFL,149,104.34341430664062,15547.168731689453,0.0,NEW_POSITION
2025-06-30 00:00:00-04:00,BUY,MDT,179,86.51367950439453,15485.948631286621,0.0,NEW_POSITION
2025-06-30 00:00:00-04:00,BUY,GLW,297,52.198307037353516,15502.897190093994,0.0,NEW_POSITION
2025-07-29 00:00:00-04:00,SELL,GLW,297,61.51837158203125,18270.95635986328,0.17855108860155605,TAKE_PROFIT
2025-07-31 00:00:00-04:00,SELL,GOOGL,88,191.60317993164062,16861.079833984375,0.08891782593591527,REBALANCE
2025-07-31 00:00:00-04:00,SELL,CBOE,66,241.0399932861328,15908.639556884766,0.03357483104004403,REBALANCE
2025-07-31 00:00:00-04:00,SELL,CAH,93,154.71466064453125,14388.463439941406,-0.07325261790154014,REBALANCE
2025-07-31 00:00:00-04:00,SELL,AFL,149,98.3080062866211,14647.892936706543,-0.057841772383285195,REBALANCE
2025-07-31 00:00:00-04:00,SELL,MDT,179,89.5605697631836,16031.341987609863,0.035218595212266904,REBALANCE
2025-07-31 00:00:00-04:00,BUY,TEL,79,205.0206756591797,16196.633377075195,0.0,NEW_POSITION
2025-07-31 00:00:00-04:00,BUY,GILD,146,110.78388214111328,16174.446792602539,0.0,NEW_POSITION
2025-07-31 00:00:00-04:00,BUY,GOOG,84,192.5621337890625,16175.21923828125,0.0,NEW_POSITION
2025-07-31 00:00:00-04:00,BUY,LHX,59,272.4773864746094,16076.165802001953,0.0,NEW_POSITION
2025-07-31 00:00:00-04:00,BUY,BK,160,100.95209503173828,16152.335205078125,0.0,NEW_POSITION
2025-08-25 00:00:00-04:00,SELL,STX,108,163.05690002441406,17610.14520263672,0.1362848967671255,TAKE_PROFIT
2025-09-03 00:00:00-04:00,SELL,GOOG,84,230.7430877685547,19382.419372558594,0.19827861910440078,TAKE_PROFIT
2025-09-30 00:00:00-04:00,SELL,TEL,79,219.52999877929688,17342.869903564453,0.07077004830594284,REBALANCE
2025-09-30 00:00:00-04:00,SELL,GILD,146,110.27167510986328,16099.664566040039,-0.004623479709779132,REBALANCE
2025-09-30 00:00:00-04:00,SELL,LHX,59,304.1435852050781,17944.47152709961,0.11621587809606924,REBALANCE
2025-09-30 00:00:00-04:00,SELL,BK,160,108.42523956298828,17348.038330078125,0.07402664133815669,REBALANCE
2025-09-30 00:00:00-04:00,BUY,STX,73,235.44229125976562,17187.28726196289,0.0,NEW_POSITION
2025-09-30 00:00:00-04:00,BUY,MU,103,167.2152862548828,17223.17448425293,0.0,NEW_POSITION
2025-09-30 00:00:00-04:00,BUY,LRCX,129,133.67991638183594,17244.709213256836,0.0,NEW_POSITION
2025-09-30 00:00:00-04:00,BUY,L,172,100.33141326904297,17257.00308227539,0.0,NEW_POSITION
2025-09-30 00:00:00-04:00,BUY,WDC,144,119.96353912353516,17274.749633789062,0.0,NEW_POSITION
2025-09-30 00:00:00-04:00,BUY,IBM,61,280.6128234863281,17117.382232666016,0.0,NEW_POSITION
2025-09-30 00:00:00-04:00,BUY,JNJ,94,184.25015258789062,17319.51434326172,0.0,NEW_POSITION
